indicator_code,indicator_name
1,Number of service providers receiving training
2,Number of sub recipients mentored per month.
3,"Number of CSOs trained and equipped to provide comprehensive psychosocial and practical support, including HIV-related support."
4,Number of sub-recipients submitting quality reports per months.
5a,Number of people Reached with HIV TESTING Messages
5b,Number of People Reached with  PEP Messages
5c,Number of people Reached with PREP Messages
5d,Number of People Reached with GBV Messages
5e,Number of People Reached with Condom Use Messages
5f,Number of People Reached with HIV Treatment Messages
5g,Number of People Reached with ARV Based Prevention Messages
5h,Number of People Reached with EMTCT Messages
5i,Total Number of People Reached with HIV Messages
6,Number of people reached with stigma reduction messages.
7,Number  of people referred for HIV testing.
8,Number of people tested for HIV.
9,Number  of people who tested positive for HIV.
10,Number of people linked to care.
11,Number of people initiated on ART
12,Number of people who were assessed for PrEP eligibility
13,Number of people referred for PrEP.
14,Number of people who were assessed for PEP eligibility
15,Number of people referred for PEP.
16,Number of people elligible for legal aid services.
17,Number of people provided with legal aid services.
18,Number of people elligible for justice services.
19,Number of people linked to justice services.
20,Number of individuals eligible for GBV screening
21,Number of individuals screened for GBV.
22,Number eligible for GBV services.
23,Number of people elligible for clinical services for GBV.
24,Number of people reffered for clinical services for GBV.
25,Number of people elligible for justice services for GBV.
26,Number of people reffered for justice services for GBV.
27,Number of People elligible for  psychosocial support on GBV.
28,Number of People who received psychosocial support on GBV
29,Number of people screened for STIs
30,Number of  people screened positive for STIs referred for services
31,Number of  STI cases linked to care
32,Number of  STI cases referrals completed
33,Number of condoms distributed
34,Number of people who reported collecting condoms for a repeated time.
35,Total number of lubricants distributed
36,Number of people sensitised on basic human rights and HIV.
37,Number of healthcare workers trained on medical ethics and human rights.
38a,Number of people who report that their rights were violated.
38b,Number of people who report that their rights were violated and who sought redress.
39,"Number of community leaders sensitised on human rights, stigma and descrimination."
40,Number of media platforms used per quarter
41,Number of advocacy activities conducted per quarter.
42,Number of target specific demand creation activities conducted
43,Number of media engagements conducted
44,Number of stigma reduction campaigns conducted during the project.
45,Number of community led monitoring conducted for quality of service and human rights.
